id	ten	gia	review_count	phanloai	thuonghieu	sku	mota	url_image
58402022	Bộ Quần Áo Mưa Vải Dù Từ 50-80kg 2 Lớp Khóa Không Thấm Nước Chống Rách	97000	17	Nhà Cửa - Đời Sống/Ngoài trời & sân vườn/Áo mưa, ô dù và phụ kiện đi mưa	OEM	1913212665365		https://salt.tikicdn.com/cache/280x280/ts/product/df/76/fa/a5633f7feaac99b687c85e57011d2c99.jpg
25107085	GIÁ TREO QUẦN ÁO 2 TẦNG CHỮ A SIZE M	285000	194	Nhà Cửa - Đời Sống/Đồ dùng và thiết bị nhà tắm/Phụ kiện giặt ủi/Giá, kệ phơi quần áo	OEM	1388294458066		https://salt.tikicdn.com/cache/280x280/ts/product/ea/b7/c1/a07b087c1bdaaba8cbb984fb0323d17b.jpg
16284231	Bộ 50 móc dán tường siêu dính 	34500	4	Nhà Cửa - Đời Sống/Dụng cụ & Thiết bị tiện ích/Giá, móc, cây treo	OEM	3129532252552		https://salt.tikicdn.com/cache/280x280/ts/product/60/e2/f0/7abe19efce2083e173e2fb33180a84a4.jpg
17593518	Bộ Hộp Cơm Giữ Nhiệt Thép Không Gỉ Lock & Lock LHC8031SLV - Bạc	584000	15	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Dụng cụ chứa đựng thực phẩm/Hộp đựng thực phẩm	Lock&Lock	7271078876801		https://salt.tikicdn.com/cache/280x280/ts/product/0a/cc/be/bd46ed18db8a626ab5c547c317f8d662.jpg
31920778	Bộ tua vít đa năng Total TACSD30136	99000	30	Nhà Cửa - Đời Sống/Sửa chữa nhà cửa/Các loại máy và phụ kiện/Máy vặn vít, tua vít	Total	7695489059507		https://salt.tikicdn.com/cache/280x280/ts/product/46/d2/47/1bc0d75b8a81cf9c06190b1ca83c1dcb.jpg
34527170	Giấy bạc dán tường nhà bếp chống thấm dầu, thấm nước tiện dụng 3mx60cm	49000	2	Nhà Cửa - Đời Sống/Trang trí nhà cửa/Decal & giấy dán tường	OEM	3773110275442		https://salt.tikicdn.com/cache/280x280/ts/product/11/84/32/5e5918d500883d89f63e6b737ccc7d9b.jpg
27948515	Bộ 2 móc treo chổi, cây lau nhà dụng cụ tẩy rửa nhà tắm dán tường chống khuẩn tiết kiệm không gian chịu lực tối đa 5Kg	14200	30	Nhà Cửa - Đời Sống/Dụng cụ & Thiết bị tiện ích/Giá, móc, cây treo	OEM	4492842190616		https://salt.tikicdn.com/cache/280x280/ts/product/52/e6/7d/0b5884fb15bda861b7707ddc1ae431d6.jpg
51554889	Ron Dán Che Khe Cửa ,Chân Cửa Chống Gió Lùa, Chống Bụi Và Chống Côn Trùng - Hàng Chính Hãng Cuộn 2m	49000	314	Nhà Cửa - Đời Sống/Sửa chữa nhà cửa/Dụng cụ sửa chữa khác/Khác	3M	1883522734320		https://salt.tikicdn.com/cache/280x280/ts/product/b9/9d/25/add7e6f3777dfd71463dd3dd856a36c0.jpg
976105	Bộ 3 hộp thủy tinh tròn HappyCook 400ml Kèm Túi Giữ Nhiệt HCG-03CE	153000	562	Nhà Cửa - Đời Sống/Dụng cụ nhà bếp/Dụng cụ chứa đựng thực phẩm/Hộp đựng thực phẩm	Happy Cook	7309844956720		https://salt.tikicdn.com/cache/280x280/ts/product/8b/a3/9a/cb9f5a52e3426fe0cac799fd95123c14.jpg
61278429	Bình Nước Giữ Nhiệt Có Móc Treo (300ml)	99000	29	Nhà Cửa - Đời Sống/Đồ dùng phòng ăn/Bình nước, bình giữ nhiệt/Bình giữ nhiệt	OEM	9106645430934		https://salt.tikicdn.com/cache/280x280/ts/product/88/9a/d5/55f0823cf84f26091ff32c62396cabac.jpg
